Re,x,delta_omega_target,delta_omega_predicted,theta_target,theta_predicted,delta_c_target,delta_c_predicted,dU,max_TKE_target,max_TKE_predicted,max_uv_target,max_uv_predicted,max_mixedness_target,max_mixedness_predicted,max_enstrophy_target,max_enstrophy_predicted,Strouhal,peak_freq,integral_time,vel_profile_corr,vel_relative_error,vel_temporal_corr,vel_mean_coherence,conc_profile_corr,conc_relative_error,conc_temporal_corr,conc_mean_coherence
2500,4.000000,0.394471,0.386316,0.097633,0.095551,1.080000,1.060000,1.036728,0.034936,0.034774,0.010938,0.010470,0.681449,0.884310,4.275942,4.382524,0.347882,0.914286,0.000000,0.999968,0.798598,0.943834,0.896147,0.999430,3.442484,0.835155,0.707883
2500,5.000000,0.448178,0.471124,0.111630,0.114098,1.160000,1.080000,1.024972,0.034814,0.035339,0.021256,0.019219,0.679811,0.874241,3.231855,2.876722,0.237369,0.542857,0.265199,0.999951,0.989537,0.953141,0.928161,0.999658,2.853785,0.894062,0.825051
2500,6.000000,0.549667,0.525612,0.124183,0.126555,1.380000,1.480010,1.008047,0.043453,0.040728,0.013383,0.013597,0.722555,0.848739,2.209338,2.388682,0.202532,0.371429,0.255763,0.999975,0.749363,0.963179,0.915004,0.999526,3.166617,0.878504,0.773203
2500,7.000000,0.591178,0.618686,0.131464,0.137337,1.320010,1.460010,0.977930,0.041303,0.039006,0.009683,0.009792,0.706482,0.838214,1.825181,1.744117,0.224536,0.371429,0.261521,0.999967,0.820040,0.947227,0.916371,0.999231,3.978329,0.845962,0.775869
3000,4.000000,0.396777,0.392660,0.098627,0.097204,1.080000,1.080000,1.038224,0.040004,0.038614,0.010570,0.010492,0.703220,0.873974,4.521577,4.414014,0.120110,0.314286,0.278330,0.999977,0.686430,0.948591,0.899748,0.999692,2.528978,0.854264,0.732139
3000,5.000000,0.449827,0.479208,0.113161,0.116725,1.220000,1.120000,1.026263,0.038581,0.038987,0.023353,0.020917,0.718381,0.865420,3.371298,2.879295,0.237942,0.542857,0.267263,0.999959,0.905898,0.950477,0.927048,0.999781,2.278499,0.900354,0.850216
3000,6.000000,0.556324,0.535104,0.125268,0.127510,1.520030,1.480010,1.009290,0.047591,0.044823,0.014156,0.013611,0.731475,0.838100,2.326823,2.392303,0.204733,0.371429,0.258938,0.999976,0.710071,0.963477,0.913779,0.999583,2.948254,0.885652,0.793372
3000,7.000000,0.585372,0.619100,0.131782,0.138006,1.340010,1.460010,0.978302,0.045107,0.042654,0.009194,0.009827,0.703991,0.830038,1.930434,1.853797,0.324821,0.542857,0.260216,0.999969,0.793092,0.951599,0.910438,0.999489,3.222807,0.866678,0.823496
5000,4.000000,0.414105,0.411296,0.102897,0.103138,1.160000,1.120000,1.042823,0.051382,0.047054,0.012224,0.012893,0.705724,0.844792,4.906664,4.540004,0.147494,0.371429,0.272248,0.999965,0.841733,0.961414,0.920979,0.999737,2.303876,0.842542,0.726236
5000,5.000000,0.505424,0.509036,0.120256,0.124295,1.280000,1.320000,1.032175,0.050004,0.050577,0.027144,0.024557,0.772910,0.834721,3.131016,2.893286,0.265820,0.542857,0.274830,0.999973,0.737044,0.964795,0.943326,0.999666,2.675924,0.916091,0.866477
5000,6.000000,0.562710,0.561985,0.130534,0.131714,1.500010,1.480010,1.013955,0.062037,0.056491,0.015074,0.012962,0.776647,0.819036,2.717791,2.426073,0.459828,0.828571,0.259401,0.999962,0.872057,0.955041,0.902364,0.999445,3.359542,0.923424,0.903290
5000,7.000000,0.605449,0.629683,0.135667,0.143404,1.380010,1.480030,0.979457,0.058092,0.053533,0.009411,0.009922,0.719206,0.813680,2.167412,2.114609,0.335566,0.542857,0.257061,0.999887,1.510423,0.959060,0.924574,0.999362,3.646935,0.874969,0.792851
10000,4.000000,0.421523,0.428706,0.110213,0.112747,1.220000,1.140000,1.049472,0.057533,0.055423,0.017575,0.018711,0.728384,0.795198,5.895746,4.730556,0.275419,0.685714,0.000000,0.999981,0.615403,0.984121,0.970692,0.999876,1.615462,0.893036,0.798391
10000,5.000000,0.493623,0.522940,0.130996,0.130017,1.400000,1.340000,1.042310,0.065031,0.063813,0.027051,0.025514,0.757531,0.818803,3.800150,3.198266,0.257089,0.542857,0.261411,0.999961,0.881975,0.978755,0.960549,0.999685,2.579107,0.934252,0.901554
10000,6.000000,0.564368,0.546613,0.140999,0.138077,1.500010,1.520060,1.024023,0.068083,0.067172,0.012315,0.010882,0.774292,0.741169,3.186918,2.994120,0.110226,0.200000,0.263288,0.999959,0.910013,0.979404,0.973084,0.999521,3.160976,0.942124,0.905034
10000,7.000000,0.572950,0.606107,0.146906,0.145756,1.520260,1.560260,0.987093,0.068420,0.067943,0.016409,0.016338,0.776309,0.773439,3.003327,2.520483,0.414601,0.714286,0.250871,0.999941,1.086154,0.968467,0.933826,0.999549,3.145471,0.922746,0.880412
15000,4.000000,0.422265,0.438176,0.111489,0.113673,1.180000,1.160000,1.051544,0.062358,0.059677,0.021999,0.021699,0.761260,0.791074,6.233167,4.864538,0.229467,0.571429,0.000000,0.999982,0.608734,0.989705,0.981988,0.999907,1.401529,0.949654,0.897382
15000,5.000000,0.501729,0.525076,0.133057,0.130762,1.360000,1.360000,1.046623,0.071190,0.068443,0.027451,0.025845,0.748794,0.805093,4.006284,3.293638,0.246538,0.514286,0.000000,0.999980,0.625136,0.990875,0.984821,0.999874,1.808351,0.967241,0.951176
15000,6.000000,0.531700,0.536110,0.139856,0.136455,1.520060,1.520060,1.024200,0.068056,0.068590,0.009905,0.009093,0.728424,0.746631,3.504037,3.171981,0.103827,0.200000,0.283805,0.999972,0.744998,0.987661,0.985597,0.999757,2.308629,0.974410,0.953775
15000,7.000000,0.564127,0.588899,0.151035,0.145653,1.600510,1.560260,0.992785,0.075003,0.073238,0.020303,0.017394,0.759052,0.763080,3.491596,2.704620,0.211056,0.371429,0.264492,0.999959,0.901778,0.981106,0.963103,0.999577,2.937196,0.959558,0.939303
20000,4.000000,0.426019,0.443807,0.111558,0.113235,1.160000,1.160000,1.051852,0.063750,0.062154,0.023999,0.022807,0.745045,0.769239,5.760434,4.887544,0.277726,0.685714,0.000000,0.999979,0.654299,0.988346,0.975808,0.999921,1.292037,0.949165,0.887763
20000,5.000000,0.532625,0.528294,0.134686,0.130383,1.360000,1.360000,1.050666,0.073053,0.069904,0.027231,0.026041,0.774680,0.808823,3.892812,3.291473,0.260712,0.514286,0.000000,0.999988,0.485133,0.987762,0.974464,0.999853,1.838197,0.963938,0.925604
20000,6.000000,0.524495,0.532838,0.137465,0.135732,1.500060,1.520060,1.023581,0.072552,0.067766,0.009455,0.007938,0.749643,0.762581,3.622572,3.241904,0.058561,0.114286,0.343630,0.999994,0.342833,0.982149,0.969662,0.999781,2.113218,0.968724,0.957135
20000,7.000000,0.574889,0.580284,0.147530,0.144158,1.600510,1.560260,0.990944,0.075763,0.074756,0.016977,0.015302,0.721683,0.756257,3.270912,2.731679,0.215481,0.371429,0.273244,0.999973,0.737893,0.978259,0.964625,0.999714,2.424886,0.966527,0.927251
25000,4.000000,0.422910,0.451192,0.113639,0.113874,1.160000,1.160000,1.054595,0.064242,0.063305,0.024036,0.023586,0.745821,0.774371,6.042343,4.885962,0.274983,0.685714,0.000000,0.999973,0.740810,0.984315,0.967930,0.999858,1.730203,0.935729,0.853894
25000,5.000000,0.543913,0.530957,0.134916,0.131295,1.360000,1.360000,1.052821,0.077217,0.070513,0.027456,0.026108,0.816569,0.805346,3.879007,3.304734,0.103325,0.200000,0.274147,0.999972,0.752826,0.984664,0.958024,0.999847,1.811691,0.941602,0.894088
25000,6.000000,0.524265,0.531274,0.135596,0.134560,1.500060,1.520060,1.023015,0.069518,0.067234,0.008998,0.007710,0.806275,0.753813,3.791020,3.273412,0.058568,0.114286,0.347400,0.999975,0.716236,0.984459,0.976142,0.999629,2.737348,0.957789,0.944420
25000,7.000000,0.538999,0.567907,0.143166,0.140622,1.560120,1.560260,0.987383,0.074434,0.072840,0.018235,0.016387,0.754127,0.751725,3.148613,2.745661,0.140371,0.257143,0.258512,0.999967,0.815003,0.973995,0.951292,0.999747,2.369337,0.959333,0.913675
30000,4.000000,0.420231,0.449995,0.115128,0.113877,1.160000,1.160000,1.057042,0.065590,0.063761,0.024078,0.023519,0.744108,0.781847,6.235044,4.922074,0.272609,0.685714,0.000000,0.999964,0.849754,0.979035,0.961667,0.999838,1.859543,0.897214,0.793537
30000,5.000000,0.546485,0.537966,0.136196,0.131429,1.360000,1.360000,1.054985,0.079358,0.069881,0.029599,0.026349,0.826101,0.811620,4.131071,3.207091,0.266401,0.514286,0.272906,0.999951,0.987035,0.980649,0.956262,0.999833,1.853009,0.927250,0.885449
30000,6.000000,0.532817,0.528122,0.134850,0.133776,1.520060,1.520060,1.023604,0.067964,0.067026,0.009508,0.006776,0.809900,0.761207,3.751833,3.309136,0.059489,0.114286,0.340515,0.999952,1.000304,0.983526,0.966613,0.999612,2.814695,0.915055,0.828871
30000,7.000000,0.522960,0.562734,0.144240,0.138769,1.600260,1.560260,0.990501,0.075303,0.071533,0.018369,0.016446,0.721554,0.756092,3.422037,2.740522,0.135765,0.257143,0.257563,0.999936,1.136865,0.971376,0.950467,0.999719,2.490701,0.951102,0.898667
